Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
600000,1980,Phil Chenier,SG,29,Indiana Pacers,0.0,0.0,35.0,47,15.0,10.0,26.0,29,8.9,0.385,0.33299999999999996,26,0.6920000000000001,124,0.0
1600000,1980,Mike Green,C,28,Kansas City Kings,0.0,0.0,113.0,28,13.0,21.0,36.0,55,10.6,0.434,0.0,42,0.5710000000000001,162,0.0
1900000,1980,Larry Steele,SF,30,Portland Trail Blazers,0.0,0.0,45.0,67,25.0,1.0,33.0,53,10.8,0.425,0.0,27,0.815,146,0.0
700000,1980,Pete Maravich,SG,32,Boston Celtics,0.0,0.0,38.0,29,9.0,2.0,37.0,49,15.6,0.494,0.75,55,0.909,299,0.0
900000,1980,Marlon Redmond,SG,24,Kansas City Kings,0.0,0.0,52.0,19,4.0,9.0,19.0,27,12.0,0.428,0.0,34,0.706,142,0.0
900000,1980,Marvin Barnes,PF,27,San Diego Clippers,0.0,0.0,77.0,18,5.0,12.0,18.0,52,8.2,0.4,0.0,32,0.5,64,0.0
600000,1980,Phil Jackson,PF,34,New Jersey Nets,0.0,0.0,24.0,12,5.0,4.0,9.0,35,10.7,0.63,0.0,10,0.7,65,0.0
3600000,1981,Tom LaGarde,C,25,Dallas Mavericks,0.0,0.0,665.0,237,35.0,45.0,206.0,293,13.5,0.47,0.0,444,0.649,1122,0.0
5000000,1981,Kevin Porter,PG,30,Washington Bullets,0.0,0.0,124.0,734,110.0,10.0,251.0,257,16.2,0.519,0.25,247,0.773,1086,0.0
1800000,1981,Keith Herron,SG,24,Detroit Pistons,0.0,0.0,211.0,148,91.0,26.0,153.0,154,13.4,0.45299999999999996,0.182,267,0.8540000000000001,1094,0.0
15900000,1981,Wes Unseld,C,34,Washington Bullets,0.0,0.0,673.0,170,52.0,36.0,97.0,171,13.5,0.524,0.5,86,0.64,507,0.0
2000000,1981,Freeman Williams,SG,24,San Diego Clippers,0.0,0.0,129.0,164,91.0,5.0,166.0,157,20.2,0.465,0.34,297,0.852,1585,0.0
1900000,1981,Bill Robinzine,PF,28,Dallas Mavericks,0.0,0.0,520.0,113,71.0,9.0,177.0,256,15.2,0.47600000000000003,0.16699999999999998,273,0.78,970,0.0
2100000,1981,Ollie Mack,SG,23,Dallas Mavericks,0.0,0.0,229.0,162,55.0,7.0,70.0,114,13.0,0.46299999999999997,0.0,123,0.642,635,0.0
4600000,1981,Gar Heard,PF,32,San Diego Clippers,0.0,0.0,348.0,122,104.0,72.0,81.0,196,10.9,0.376,0.0,101,0.782,377,0.0
600000,1981,Wayne Robinson,PF,22,Detroit Pistons,0.0,0.0,294.0,112,46.0,24.0,149.0,186,11.5,0.46,0.0,240,0.7290000000000001,643,0.0
700000,1981,Richard Washington,PF,25,Cleveland Cavaliers,0.0,0.0,369.0,113,41.0,54.0,108.0,246,14.1,0.45899999999999996,0.5,136,0.75,681,0.0
900000,1981,Bob Elliott,C,25,New Jersey Nets,0.0,0.0,261.0,129,34.0,16.0,119.0,175,12.3,0.511,0.5,202,0.599,550,0.0
2100000,1981,Rudy Tomjanovich,PF,32,Houston Rockets,0.0,1.0,208.0,81,19.0,6.0,58.0,121,13.5,0.467,0.235,82,0.7929999999999999,603,1.0
800000,1981,Henry Bibby,PG,31,San Diego Clippers,0.0,0.0,74.0,200,47.0,2.0,76.0,85,10.6,0.386,0.337,98,0.684,335,0.0
600000,1981,Abdul Jeelani,SF,26,Dallas Mavericks,0.0,0.0,230.0,65,44.0,31.0,87.0,123,15.5,0.425,0.0,220,0.8140000000000001,553,0.0
1900000,1981,Sidney Wicks,PF,31,San Diego Clippers,0.0,0.0,223.0,111,40.0,40.0,94.0,168,9.7,0.43700000000000006,0.0,150,0.507,326,0.0
1000000,1981,Kevin Restani,SF,29,San Antonio Spurs,0.0,0.0,174.0,81,16.0,14.0,68.0,103,13.8,0.52,0.375,88,0.705,449,0.0
700000,1981,Larry Wright,PG,26,Detroit Pistons,0.0,0.0,88.0,153,42.0,7.0,74.0,114,11.1,0.462,0.28600000000000003,66,0.8029999999999999,335,0.0
700000,1981,Don Ford,SF,28,Cleveland Cavaliers,0.0,0.0,164.0,84,15.0,12.0,49.0,100,8.2,0.446,0.0,24,0.917,222,0.0
700000,1981,Larry Demic,PF,23,New York Knicks,0.0,0.0,243.0,28,12.0,13.0,58.0,153,10.4,0.504,0.0,92,0.63,314,0.0
800000,1981,Sam Worthen,PG,23,Chicago Bulls,0.0,0.0,115.0,115,57.0,6.0,91.0,115,8.9,0.495,0.0,60,0.75,235,0.0
1400000,1981,Kevin Kunnert,C,29,Portland Trail Blazers,0.0,0.0,287.0,67,17.0,32.0,50.0,143,12.7,0.46799999999999997,0.0,54,0.778,244,0.0
900000,1981,Clifford Ray,C,32,Golden State Warriors,0.0,0.0,217.0,52,24.0,13.0,74.0,194,4.7,0.42100000000000004,0.0,62,0.46799999999999997,157,0.0
1400000,1981,Hawkeye Whitney,SG,23,Kansas City Kings,0.0,0.0,106.0,68,47.0,6.0,48.0,98,14.0,0.48700000000000004,0.33299999999999996,65,0.769,350,0.0
700000,1981,John Roche,PG,31,Denver Nuggets,0.0,0.0,37.0,140,17.0,8.0,52.0,44,13.1,0.45799999999999996,0.33299999999999996,77,0.753,231,0.0
600000,1981,Dennis Awtrey,C,32,Seattle Supersonics,0.0,0.0,108.0,54,12.0,8.0,33.0,85,6.7,0.473,0.0,20,0.7,102,0.0
2000000,1981,Bob Dandridge,SF,33,Washington Bullets,0.0,0.0,83.0,60,16.0,9.0,33.0,54,11.6,0.426,0.0,39,0.718,230,0.0
